measurement:
L1-L4(width),295.0
L1-L2(halfDep),86.5
""
landmark:
name,x,y
L1,-5,667
L2,42,486
L4,914,670
""
coordinate:
frame,sub1_x,sub1_y,sub2_x,sub2_y,sub1_freeze,sub2_freeze
171,-1,-1,-1,-1,False,False
172,-1,-1,-1,-1,False,False
173,-1,-1,-1,-1,False,False
174,-1,-1,-1,-1,False,False
175,-1,-1,-1,-1,False,False
176,-1,-1,-1,-1,False,False
177,-1,-1,-1,-1,False,False
178,-1,-1,-1,-1,False,False
179,-1,-1,-1,-1,False,False
180,-1,-1,-1,-1,False,False
181,-1,-1,-1,-1,False,False
182,-1,-1,-1,-1,False,False
183,-1,-1,-1,-1,False,False
184,-1,-1,-1,-1,False,False
185,-1,-1,-1,-1,False,False
186,-1,-1,-1,-1,False,False
187,-1,-1,-1,-1,False,False
188,-1,-1,-1,-1,False,False
189,-1,-1,-1,-1,False,False
190,-1,-1,-1,-1,False,False
191,-1,-1,-1,-1,False,False
192,-1,-1,-1,-1,False,False
193,-1,-1,-1,-1,False,False
194,-1,-1,-1,-1,False,False
195,-1,-1,-1,-1,False,False
196,-1,-1,-1,-1,False,False
197,-1,-1,-1,-1,False,False
198,-1,-1,-1,-1,False,False
199,-1,-1,-1,-1,False,False
200,-1,-1,-1,-1,False,False
201,-1,-1,-1,-1,False,False
202,-1,-1,-1,-1,False,False
203,-1,-1,-1,-1,False,False
204,-1,-1,-1,-1,False,False
205,-1,-1,-1,-1,False,False
206,-1,-1,-1,-1,False,False
207,-1,-1,-1,-1,False,False
208,-1,-1,-1,-1,False,False
209,-1,-1,-1,-1,False,False
210,-1,-1,-1,-1,False,False
211,-1,-1,-1,-1,False,False
212,-1,-1,-1,-1,False,False
213,-1,-1,-1,-1,False,False
214,-1,-1,-1,-1,False,False
215,-1,-1,-1,-1,False,False
216,-1,-1,-1,-1,False,False
217,-1,-1,-1,-1,False,False
218,-1,-1,-1,-1,False,False
219,-1,-1,-1,-1,False,False
220,-1,-1,-1,-1,False,False
221,-1,-1,-1,-1,False,False
222,-1,-1,-1,-1,False,False
223,-1,-1,-1,-1,False,False
224,-1,-1,-1,-1,False,False
225,-1,-1,-1,-1,False,False
226,-1,-1,-1,-1,False,False
227,-1,-1,-1,-1,False,False
228,-1,-1,-1,-1,False,False
229,-1,-1,-1,-1,False,False
230,-1,-1,-1,-1,False,False
231,-1,-1,-1,-1,False,False
232,-1,-1,-1,-1,False,False
233,-1,-1,-1,-1,False,False
234,-1,-1,-1,-1,False,False
235,-1,-1,-1,-1,False,False
236,-1,-1,-1,-1,False,False
237,-1,-1,-1,-1,False,False
238,-1,-1,-1,-1,False,False
239,-1,-1,-1,-1,False,False
240,-1,-1,-1,-1,False,False
241,-1,-1,-1,-1,False,False
242,-1,-1,-1,-1,False,False
243,-1,-1,-1,-1,False,False
244,-1,-1,-1,-1,False,False
245,-1,-1,-1,-1,False,False
246,-1,-1,-1,-1,False,False
247,-1,-1,-1,-1,False,False
248,-1,-1,-1,-1,False,False
249,-1,-1,-1,-1,False,False
250,-1,-1,-1,-1,False,False
251,-1,-1,-1,-1,False,False
252,-1,-1,-1,-1,False,False
253,-1,-1,-1,-1,False,False
254,-1,-1,-1,-1,False,False
255,-1,-1,-1,-1,False,False
256,-1,-1,-1,-1,False,False
257,-1,-1,-1,-1,False,False
258,-1,-1,-1,-1,False,False
259,-1,-1,-1,-1,False,False
260,-1,-1,-1,-1,False,False
261,-1,-1,-1,-1,False,False
262,-1,-1,-1,-1,False,False
263,-1,-1,-1,-1,False,False
264,-1,-1,-1,-1,False,False
265,-1,-1,-1,-1,False,False
266,-1,-1,-1,-1,False,False
267,-1,-1,-1,-1,False,False
268,-1,-1,-1,-1,False,False
269,-1,-1,-1,-1,False,False
270,-1,-1,-1,-1,False,False
271,-1,-1,-1,-1,False,False
272,-1,-1,-1,-1,False,False
273,-1,-1,-1,-1,False,False
274,-1,-1,-1,-1,False,False
275,-1,-1,-1,-1,False,False
276,-1,-1,-1,-1,False,False
277,-1,-1,-1,-1,False,False
278,-1,-1,-1,-1,False,False
279,-1,-1,-1,-1,False,False
280,-1,-1,-1,-1,False,False
281,-1,-1,-1,-1,False,False
282,-1,-1,-1,-1,False,False
283,-1,-1,-1,-1,False,False
284,-1,-1,-1,-1,False,False
285,-1,-1,-1,-1,False,False
286,-1,-1,-1,-1,False,False
287,-1,-1,-1,-1,False,False
288,-1,-1,-1,-1,False,False
289,-1,-1,-1,-1,False,False
290,-1,-1,-1,-1,False,False
291,-1,-1,-1,-1,False,False
292,-1,-1,-1,-1,False,False
293,-1,-1,-1,-1,False,False
294,-1,-1,-1,-1,False,False
295,-1,-1,-1,-1,False,False
296,-1,-1,-1,-1,False,False
297,-1,-1,-1,-1,False,False
298,-1,-1,-1,-1,False,False
299,-1,-1,-1,-1,False,False
300,-1,-1,-1,-1,False,False
301,-1,-1,-1,-1,False,False
302,-1,-1,-1,-1,False,False
303,-1,-1,-1,-1,False,False
304,-1,-1,-1,-1,False,False
