start,end,duration,start,end,duration
245,253,2.25,244,254,2.75
258,281,6.0,258,281,6.0
298,313,4.0,297,340,11.0
319,326,2.0,344,358,3.75
396,404,2.25,364,379,4.0
408,412,1.25,394,405,3.0
428,435,2.0,421,426,1.5
444,458,3.75,428,457,7.5
475,482,2.0,476,482,1.75
-1,-1,-1.0,494,525,8.0
-1,-1,-1.0,566,588,5.75
-1,-1,-1.0,609,615,1.75
-1,-1,-1.0,657,663,1.75
-1,-1,-1.0,675,680,1.5
-1,-1,-1.0,683,687,1.25
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
-1,-1,-1.0,-1,-1,-1.0
